,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
"1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester",beta-carboxyglutaric acid ,,22486667,657302.8936,,,22527408.2,924872.2378,,,,,27876340.4,2615109.123,30726809.2,1020408.325,35950233.8,3114350.286,31022233.8,921757.691,24347255,1831690.772,22490866.2,1893221.378,91493671.8,2947214.229,91935415,625015.4394,50209353.8,1433744.096
"1,6-anhydroglucose_1803_3TMS","1,6-anhydroglucose",,5681356.2,1683896.088,19328101.6,3813594.061,20206798.8,5070929.836,14241921,2286821.216,13949912.6,1295886.543,15097250.4,2109922.481,11323943,1663288.565,11687275.8,2280462.012,8022248.4,919814.7897,7611398.4,363600.9163,8760690.2,1457716.949,26019828.4,4742520.871,15615855.2,2410834.39,7988673.6,1806756.277
1-Octanesulfonyl chloride,1-Octanesulfonyl chloride,,238688,9018.20929,3404175.2,103906.3143,3197228.2,87490.54801,,,,,150425.4,3690.676694,,,2698295.2,60254.17214,,,150849,5077.572855,109363,8479.963774,2810429.6,78809.51414,3092969.2,152121.6239,305676.4,8724.027107
"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-","Threonic acid-1,4-lactone",,8134589.2,462500.4815,15328115.6,1379821.138,18217754,5401351.579,4234152.6,489823.6082,6446724.2,777421.2708,8786062.8,409170.8378,7143381.8,1528798.343,12131404.8,1839875.969,6392354.6,450929.3922,7387287.6,702241.4697,5489729,526621.1205,16121654,2389018.418,17117348.8,394409.88,15275490.4,1124454.404
"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv.",Threonic acid,,25484562,1301124.093,29316685,1316158.93,27885612.8,3707671.033,13279084.6,756752.5568,13301963.6,922199.456,16401192,955607.6546,17720725.4,1166818.269,23905714.2,1465386.934,19843625.4,1388616.743,20879234.8,831099.3573,22505662.4,1436519.022,30675608.6,1178051.398,22600297,1394312.358,18909509.6,2690392.385
"-D-Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-",#NAME?,,669292.6,255555.8136,3182600.2,973542.7154,1797372.6,290259.5644,214075,27393.20617,527357,42120.17816,449039.6,52370.76291,394058.6,105449.131,425523.6,70211.93297,205307,11461.44641,356960.8,39530.91853,439917.4,90716.85176,228078.8,13915.97526,294479.2,13366.0917,229308.8,25607.80253
"-D-Glucopyranoside, methyl 2,3,4-tris-O-(trimethylsilyl)-6-dodecanoyl-",#NAME?,,61498.8,5306.283948,140013.8,12779.44383,116638.6,16116.59776,28881.4,4343.806655,30771.6,1669.894057,44222.4,2421.556165,54676.8,3254.993324,97706.8,4123.56544,42440,2834.809817,61458.6,4611.449009,61783.4,6261.440135,115175.4,4045.442628,143620,15099.83887,61642,1496.527481
"-D-Mannopyranoside, methyl 2,3,4,6-tetrakis-O-(trimethylsilyl)-",#NAME?,,272049,32434.70053,552000.2,76755.22091,428950.6,77571.67233,91130.5,6219.805404,92654.2,2408.659615,93534,11104.11098,122054.8,6613.170181,167517.2,8028.191225,53830,1351.785301,225623,12027.61886,292382.2,42893.76964,254471.8,12357.14987,387026.2,36968.37355,235181.4,23760.69741
"-D-Xylopyranose, 1,2,3,4-tetrakis-O-(trimethylsilyl)-",#NAME?,,897995.2,25784.39339,2829685.8,218105.5127,2676654.2,121602.9851,596358.4,21834.80387,549526.8,37105.34671,740690.2,7056.260167,771170,22712.04019,,,337711.6,38425.65418,757367.2,9705.998204,762955,56563.81712,1395350.6,25293.57292,1100371.6,38655.96002,441067.8,11940.77713
Allose_1831_5TMS,allose,,11667283.8,853761.5681,18461225,2056320.57,14618166.2,1007799.662,7215709.4,830470.4469,7058562,841796.5659,7250472.4,236732.1037,8696911,1067402.052,10131200.2,464989.2566,4213999,932995.4315,7080876.4,146657.9781,7488086.8,626173.2883,8066367,730695.5028,7939970.2,344684.0882,14167477.6,5116876.63
Allose_1831_5TMS:2,allose,,158700.8,13082.61064,443369.4,53590.20519,422261,25517.69831,121620.8,26497.52956,104421.6,18194.9533,217711.2,21727.57412,219310.6,32729.01883,493138.8,37088.50449,96064.25,25671.1845,118633.8,22969.19076,184368,14642.07493,484536.8,17948.3596,413239.2,29038.92869,321442.2,30983.29802
"Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",arabinose,,999985,35104.85193,2357465.2,363504.4315,2094181,361330.2894,851948,98753.62015,1114210.2,256915.0983,1060433.6,20998.73423,1107687.2,180077.7593,1670125.8,373972.8471,553833,62258.74311,1171124,93841.14533,970827.2,157640.5145,2953829.6,401315.6222,2056731.4,146174.1483,1326435.2,235967.3572
"Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-:2",arabinose,,152078.6,11764.73308,396223.4,37077.53221,294300.6,71383.5393,122317.8,4100.706981,92667,13191.45305,92825.2,2237.985554,151159.8,23077.22644,169730,23461.26384,58675,9897.677101,156905.2,19394.70336,149761,10305.8673,508775.4,48493.59974,339853.4,17613.59008,177998,14805.62959
Bis(trimethylsilyl)monostearin,octadecanoic acid,,,,27418640.6,765870.4611,24753310.6,956608.9187,,,,,,,,,29402828.4,1494599.853,,,,,,,24162621.6,1849561.563,22695419.8,1373640.782,,
"Boric acid, trimethyl ester",boric acid,,694427,6984.682205,657839,13588.56774,,,665841.6,46519.78901,682110.2,55996.70231,967273,120044.8876,784729.8,36319.29416,,,713084.6,61370.03418,887459.2,52545.70097,896900.4,7571.00143,1266361,68398.57558,1911486.8,115491.1725,1995772.8,236858.9606
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-",butanal,,,,,,,,,,,,,,,,49579.6,2549.052973,,,,,,,220035.4,10415.40173,145047.2,3098.150487,,
