,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
"1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester",beta-carboxyglutaric acid ,,127972.2,5994.7139,,,285846.8,25960.75689,150042.2,11189.97734,31024131,502362.1242,34268680.2,2877054.915,26751950,1509688.846,29549917,2140212.069,28748391.4,2173073.034,25051881,658117.5702,20131605.8,1112912.721,36026579.6,460445.7023,82933664.5,3257090.39,19165116.8,395720.0485
"1,6-anhydroglucose_1803_3TMS","1,6-anhydroglucose",,27076885.6,492732.9073,21295806.6,1125324.138,19905466,5755913.907,14304354,1834079.303,13531484.6,797577.1741,10139776.8,1371259.323,8497748.8,555507.5364,8181691.4,761238.6013,6030879.2,445158.4034,9760043.2,747130.7177,7081355.4,465330.6067,16259269.8,1266527.68,18846039,1311392.206,12188185.8,950474.5376
1-Octanesulfonyl chloride,1-Octanesulfonyl chloride,,300874.6,12886.0476,3552388.2,94413.8257,2934742.2,70923.01027,,,200624.2,6893.690894,300037.2,9124.060869,,,,,,,269006.8,4717.169802,268838.4,12478.60468,,,,,217643.2,15229.85591
"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-","Threonic acid-1,4-lactone",,6600710.6,753477.0566,12532670.4,1028427.97,15919645,2269940.615,3731495,156760.2832,5735404.6,154412.3577,7903287.4,465031.7953,6291882.4,1211515.076,10303216.2,524002.0203,11961747.6,612515.007,6366860.2,603877.9241,7550877.4,660762.6971,18684828.2,1051434.512,27916613.17,2936030.825,8277086,886333.1598
"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv.",Threonic acid,,25885509.8,2743993.477,29395013.6,2312718.778,32854979.4,1763742.792,17794444.6,635339.6041,18736288.2,1912762.034,14710960,2931911.01,15383700.2,1253138.304,16324157.6,1587890.779,17838380.8,1182153.446,19621546.4,1103255.731,20026439,1315328.652,28097094,281271.0376,54898393.33,5579739.478,21358332.2,1896370.09
"-D-Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-",-D-Glucopyranose,,1416213,48434.39739,2486195.2,136761.7165,1308938.4,453370.5565,278798.2,6053.473989,259634.6,60277.34939,295010.4,29104.95611,374994.2,85550.05621,288786.4,26795.56344,245061.4,49644.97839,301707.2,67361.52928,593506.2,17647.59396,332677.8,39037.60969,698222.5,152865.2753,396837.8,35545.97792
"-D-Glucopyranoside, methyl 2,3,4-tris-O-(trimethylsilyl)-6-dodecanoyl-",-D-Glucopyranose,,53862.2,3656.067688,139055.4,11851.67234,118749.4,7999.742325,24843.8,1776.622368,34402.2,4672.158852,46542.2,1481.358917,42246.2,5227.446828,39955.6,951.7651286,45080.8,5328.793413,89405.2,4697.978687,74239.8,1195.333694,146531,5437.185412,,,47287.75,3121.722182
"-D-Mannopyranoside, methyl 2,3,4,6-tetrakis-O-(trimethylsilyl)-",-D-Mannopyranoside,,176809.6,11875.71329,413259.4,67189.6681,411957.6,38368.33318,58030.2,2253.790749,52276.8,3089.012389,81018.4,6806.631726,68581.8,4023.947954,67886,6751.15996,72816.8,2912.035292,223161.6,10758.55927,279223,51231.53106,205052.8,7941.994916,431912,45592.75744,254987.8,17368.31594
"-D-Xylopyranose, 1,2,3,4-tetrakis-O-(trimethylsilyl)-",-D-Xylopyranose,,971368.2,41579.92012,2370362.4,139953.5428,1967206.2,81044.12376,386138,13453.26053,552772.2,27477.06045,781725.8,15745.26462,697387.6,22843.74308,521362,22690.17946,499469.8,8803.326856,800737.2,43498.77339,738039.2,18467.14109,1394480.2,30254.53461,1409226.167,90628.2812,533898,43596.89684
Allose_1831_5TMS,allose,,10833651.8,322399.0741,16970645.6,930785.4463,14347317.8,863138.8059,4633151.2,168997.4915,8392908.4,663206.0153,7104826.6,496942.2418,8011979.4,1438728.605,7292517,985490.1742,10519110.2,600209.3426,7620468.2,287126.0677,7289527,647512.2363,19950420,1375302.988,21163723.67,808389.9864,5638315,574653.6042
