Accession,Accession_all,Peptide count,Peptides used for quantitation,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,WT Cntl 1,WT Cntl 2,WT Cntl 3,WT Cntl 4,WT cold 1,WT cold 2,WT cold 3,WT cold 4,fum2 Cntl 1,fum2 Cntl 2,fum2 Cntl 3,fum2 Cntl 4,fum2 Cold 1,fum2 Cold 2,fum2 Cold 3,fum2 Cold 4,AVG WT Cont.,SE WT cont,AVG WT Cold,SE WT cold,AVG fum2 Cntl,SE fum2 cont,AVG fum2 Cold,SE fum2 cold,Pval WT ,F.C. WT,Pval fum2,F.C. fum2,Pval WT*fum2 Cold,F.C. WT Cold*fum2 Cold,Pval WT*fum2 Cntl,FC WT/fum2 Cntl,Pval fum2 Cold/ WT Cont. ,FC fum2 Cold/ WT Cont. ,Sig. change in WT or fum2?
AT4G34260,AT4G34260.1,14,4,206.63,0.581197245,1.912779874,WT control,fum2 control,"1,2-alpha-L-fucosidases | chr4:16398130-16401591 FORWARD LENGTH=843",200885.6315,75347.30105,74205.8853,89435.71962,91647.28676,115383.7748,12789.68864,135444.8554,4685.720732,29382.65054,50729.94027,48838.72926,12968.67171,54535.25644,85763.53483,78727.62509,109968.6344,30502.88497,88816.40139,26876.43487,33409.2602,10721.20087,57998.77202,16432.36968,0.62148998,0.807652126,0.256738744,1.736008869,0.365716239,1.531349687,0.055680113,3.291561493,0.184290716,0.527411951,FALSE
AT1G50480,AT1G50480.1,24,16,849.93,0.396741198,1.336759139,fum2 control,fum2 cold,10-formyltetrahydrofolate synthetase | chr1:18702064-18704687 FORWARD LENGTH=634,369170.1445,213922.8193,195536.2801,251827.2735,330067.0266,379772.6107,382161.79,362063.4376,180193.1326,157194.512,129356.9087,143716.5158,169362.8675,156922.9905,192846.8958,162931.2463,257614.1294,38988.05603,363516.2163,12016.9555,152615.2673,10807.58669,170516,7864.99108,0.040893957,1.411088038,0.228996304,1.117293198,1.05186E-05,2.131859862,0.040923043,1.687997105,0.071088855,0.661904688,TRUE
AT1G76680,AT1G76680.1,9,6,151.84,2.28E-05,18.55154928,fum2 control,WT cold,12-oxophytodienoate reductase 1 | chr1:28776982-28778271 FORWARD LENGTH=372,545011.908,302198.0884,566315.4525,79080.13956,47387.92132,43634.8593,82804.72951,55951.37054,510477.999,401791.2853,247116.3693,407063.8555,412716.5897,319342.5194,336459.265,340800.5111,373151.3971,114876.9864,57444.72017,8837.475259,391612.3773,54275.90833,352329.7213,20654.94985,0.033730387,0.153944808,0.523970611,0.899689953,1.20647E-05,0.163042504,0.889231659,0.952859048,0.864286548,0.944200461,TRUE
AT5G46420,AT5G46420.1,13,4,60.3,0.006826464,4.54907055,WT cold,fum2 control,16S rRNA processing protein RimM family | chr5:18829999-18832893 FORWARD LENGTH=653,6126.604385,5967.898846,7026.299964,26986.91724,40988.53499,18103.14761,15585.15177,19948.00711,1220.397941,1582.236011,2826.848155,2608.397709,8339.45171,8458.465712,7313.384179,6737.533903,11526.93011,5158.594933,23656.21037,5846.21488,2059.469954,389.6563725,7712.208876,414.2649394,0.170784457,2.052255904,5.99645E-05,3.744754256,0.034623756,3.067371586,0.116977521,5.59703728,0.488862384,0.669060088,TRUE
AT5G62790,AT5G62790.1;AT5G62790.2,20,13,785.02,0.024921292,1.827217623,WT cold,WT control,1-deoxy-D-xylulose 5-phosphate reductoisomerase | chr5:25214358-25217292 REVERSE LENGTH=477,49886.10631,165989.3266,167572.3936,100088.4267,359988.3686,307620.1808,302223.677,282553.0968,69237.80024,94776.24978,83548.37288,87129.57696,142044.1243,166833.1753,176169.7569,152937.0727,120884.0633,28412.81014,313096.3308,16532.6827,83672.99996,5351.172801,159496.0323,7524.602988,0.001103894,2.590054654,0.000175945,1.906182788,0.000149397,1.963035232,0.2455023,1.444720081,0.23694842,1.319413229,TRUE
AT3G22110,AT3G22110.1,9,5,315.36,0.187699627,1.341142198,WT cold,fum2 control,20S proteasome alpha subunit C1 | chr3:7792819-7793571 REVERSE LENGTH=250,106251.5987,77407.32689,107661.8546,102808.0212,183099.6916,196327.706,192132.742,149057.6596,29975.27289,59757.7094,57985.13598,55491.32079,80968.08007,81510.85377,91278.05162,96793.02932,98532.20036,7115.022961,180154.4498,10726.67436,50802.35976,6997.287952,87637.5037,3863.227165,0.000720226,1.828381475,0.003659296,1.725067578,0.000187994,2.05567756,0.00305373,1.939520149,0.227033043,0.889430089,TRUE
AT3G14290,AT3G14290.1;AT1G53850.1,13,7,431.72,0.004356726,1.467361524,fum2 cold,WT control,20S proteasome alpha subunit E2 | chr3:4764364-4766381 FORWARD LENGTH=237,104297.8921,79169.07235,109578.8618,84925.49002,188797.6315,204295.8635,193704.1133,197648.4122,57747.47019,63750.31151,80428.05503,57838.67135,130153.1265,95438.48197,123290.5991,100337.8818,94492.82906,7360.248752,196111.5051,3274.065877,64941.12702,5349.895295,112305.0224,8499.658603,1.51998E-05,2.075411511,0.003271435,1.7293359,9.29336E-05,1.746239847,0.0175159,1.455053729,0.164236103,1.188503122,TRUE
AT2G27020,AT2G27020.1,12,8,298.21,0.048116662,1.404412135,WT cold,WT control,20S proteasome alpha subunit G1 | chr2:11528515-11530858 REVERSE LENGTH=249,85153.04521,87280.66297,67455.76291,72131.20104,142942.464,166752.8443,162667.571,167048.261,52552.4843,52051.80396,44692.6394,44243.43474,87785.54824,67019.2878,79017.87081,71709.23997,78005.16803,4855.584338,159852.7851,5724.710099,48385.0906,2265.676247,76382.9867,4532.142517,3.52988E-05,2.049258903,0.00147916,1.578647177,2.68791E-05,2.092779976,0.001475881,1.612173648,0.815191029,0.979204181,TRUE
AT1G56450,AT1G56450.1,10,7,317.54,0.012425786,1.460257591,fum2 cold,WT control,20S proteasome beta subunit G1 | chr1:21141970-21144186 FORWARD LENGTH=246,56403.24209,52431.59171,51057.79351,51645.87066,109277.5786,102273.0395,107682.9265,123223.0336,37858.60756,44587.8598,35480.09048,36598.38589,69797.09044,58619.68574,66234.55099,55876.83636,52884.62449,1206.155429,110614.1446,4462.216982,38631.23593,2044.10778,62632.04088,3240.984882,1.61082E-05,2.091612555,0.000768796,1.621279759,0.000127368,1.766095165,0.000960003,1.368960201,0.030406883,1.184314751,TRUE
AT2G05840,AT2G05840.1;AT2G05840.2,7,3,228.18,0.000585989,1.913416636,WT cold,fum2 control,20S proteasome subunit PAA2 | chr2:2234226-2236053 FORWARD LENGTH=246,15840.54806,14060.34922,12098.49746,17371.32025,29969.07078,32047.37676,25899.46975,31571.54824,5347.567542,5011.398703,8103.649943,5709.02879,12754.70063,9773.105787,10738.30031,9950.393582,14842.67875,1137.700219,29871.86638,1396.756587,6042.911245,701.5246768,10804.12508,683.1871474,0.000161096,2.012565716,0.002816481,1.787900672,1.79093E-05,2.764857512,0.000589447,2.456213263,0.022708806,0.727909379,TRUE
